,Care Home Name,street,suburb,city,PostCode,Specialisms,Local authority area,phone Number,email,Website URL
53,Tudor House,159-161 Monyhull Hall Road,Kings Norton,Birmingham,B30 3QN,Not Specified,Birmingham,0121 4512529,info@tudorhouse-residentialhome.co.uk,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/54
54,Tudor Rose Rest Home (Careplex Domiciliary Services),671 Chester Road,Erdington,Birmingham,B23 5TH,Not Specified,Birmingham,0121 3848922,waseem@careplex.co.uk,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/55
55,Tulip Gardens,5 Court Farm Way,Selly Oak,Birmingham,B29 5BW,Learning Disabilities,Birmingham,0121 4783505,angelac@newoutlook.org.uk,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/56
56,Unity Care (Gravelly Hill),90 Gravelly Hill Erdington,Erdington,Birmingham,B23 7PF,Learning Disabilities,Birmingham,0121 6864406,unitycare3079@aol.co.uk,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/57
57,Uplands Nursing Home,43 Upland Road,Selly Park,Birmingham,B29 7JS,Nursing,Birmingham,0121 4713816,uplands@astleycarehomes.co.uk,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/58
58,Victoria Lodge Care Home,11 Victoria Road,Acocks Green,Birmingham,B27 7XZ,Not Specified,Birmingham,0121 7077921,victoriamanager@select-group.co.uk,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/59
59,Victoria Road,16 Victoria Road,Acocks Green,Birmingham,B27 7YA,Learning Disabilities,Birmingham,0121 7082637,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/60
60,Willowbrook Care Home,363 Aldridge Road,Perry Bar,Birmingham,B44 8BW,Nursing,Birmingham,0121 3444751,sue@willinbrookhealthcare.co.uk,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/61
61,Arden Croft,41 Thompsons Road,Keresley End,CH Town,CV7 8JU,Learning Disabilities,Coventry,Not Specified,admin@dignushealthcare.com,https://www.wmca.care/hmfc/directory/carehomes/birmingham/coventry/dp/1
62,Beechwood Gardens,71-73 Rochester Road,Not Specified,CH Town,CV5 6AF,Dementia,Coventry,02476 713654,beechwoodgardens@btconnect.com,https://www.wmca.care/hmfc/directory/carehomes/birmingham/coventry/dp/2
63,Belvedere Park Nursing Home,2 Belvedere Road,Earlsdon,CH Town,CV5 6PF,"Nursing, Palliative Care, Wound Management, Residential Care Home",Coventry,024 7667 3409,info@belvedereparkcoventry.co.uk,https://www.wmca.care/hmfc/directory/carehomes/birmingham/coventry/dp/3
64,Brookfield,26 Bedlam Lane,Holbrooks,CH Town,CV6 6AR,Not Specified,Coventry,0121 3575049,admin@dignushealthcare.com,https://www.wmca.care/hmfc/directory/carehomes/birmingham/coventry/dp/4
65,Compton Manor Residential Care Home,Compton Road,Holbrooks,CH Town,CV6 6NT,Dementia,Coventry,02476 688338,stephanie.mcnaney@nhs.net,https://www.wmca.care/hmfc/directory/carehomes/birmingham/coventry/dp/5
66,Grove House (Ratan Homes),215 Tamworth Road,Keresley,CH Town,CV7 8JJ,Not Specified,Coventry,02476 335600,tkaurora@googlemail.com,https://www.wmca.care/hmfc/directory/carehomes/birmingham/coventry/dp/6
67,Inshore Support Limited - 108 Barnfield Avenue,Allesley,Allesley,CH Town,CV5 9FX,Learning Disabilities,Coventry,02476 403067,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/birmingham/coventry/dp/7
68,Melbourne House,23-35 Earlsdon Avenue South,Earlsdon,CH Town,CV5 6DU,Dementia,Coventry,02476 672732,gurbaksh_khera@hotmail.com,https://www.wmca.care/hmfc/directory/carehomes/birmingham/coventry/dp/8
69,Oakridge Care Homes Ltd,31 Gillity Avenue,Not Specified,CH Town,WS5 3PJ,Not Specified,Coventry,07762 244576,gurbaksh.khera@nhs.net,https://www.wmca.care/hmfc/directory/carehomes/birmingham/coventry/dp/9
70,St Andrews House,19 St Andrews Road,Earlsdon,CH Town,CV5 6FP,Not Specified,Coventry,02476 673745,info@standrewshouse.org.uk,https://www.wmca.care/hmfc/directory/carehomes/birmingham/coventry/dp/10
71,Abbeygate Care Centre,2 Leys Road,Brockmoor,CH Town,DY5 3UR,Not Specified,Dudley,01384 571295,abbeygatecare1@gmail.com,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/1
72,Abbeymere Care Centre (HQ),12 Eggington Road,Wollaston,CH Town,DY8 4QJ,Not Specified,Dudley,01384 395195,karelinkwolverhampton@gmail.com,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/2
73,Allenbrook Home (Halesowen) Ltd,209 Spies Lane,Not Specified,CH Town,B62 9SJ,Nursing,Dudley,0121 4225844,manager@allenbrooknursinghome.co.uk,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/3
74,Amberley Care Home,481-483 Stourbridge Road,Not Specified,CH Town,DY5 1LB,Not Specified,Dudley,01384 482365,amberleycarehome@hotmail.co.uk,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/4
75,Avondale Residential Care Home,45 Norton Road,Norton,CH Town,DY8 2AH,Not Specified,Dudley,01384 442731,avondaleresthome@hotmail.com,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/5
76,Belvidere Residential Home,41-43 Stourbridge Road,Not Specified,CH Town,DY1 2DH,Not Specified,Dudley,01384 211850,manager@belviderecare.com,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/6
77,Brambles The (Dudley),69-69A Vicarage Road,Amblecote,CH Town,DY8 4JA,Not Specified,Dudley,01384 379034,info@thebramblescarehome.co.uk,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/7
78,Camelot Rest Home,152 Stourbridge Road,Holly Hall,CH Town,DY1 2ER,Not Specified,Dudley,01384 214290,cam152@hotmail.co.uk,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/8
79,Castleview Residential Care Home,6 Priory Road,Not Specified,CH Town,DY1 4AD,Not Specified,Dudley,01384 253426,goldenseniorcare@outlook.com,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/9
80,Castlewellan House,41 Moss Grove,Not Specified,CH Town,DY6 9HP,Not Specified,Dudley,01384 298321,steveshirl@hotmail.co.uk,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/10
81,Cedars Christian Residential Home,20-22 Redlake Road,Pedmore,CH Town,DY9 0SA,Dementia,Dudley,01562 882299,thecedars22@hotmail.co.uk,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/11
82,Comberton Nursing Home,2 King William Street,Amblecote,CH Town,DY8 4EP,Nursing,Dudley,01384 262027,comberton@hotmail.co.uk,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/12
83,Commonside Care Ltd,Pensnett,Not Specified,CH Town,DY5 4AJ,Learning Disabilities,Dudley,01384 745880,commonsidecare@hotmail.co.uk,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/13
84,Edmore House Residential Home,20 Oakham Road,Not Specified,CH Town,DY2 7TB,Not Specified,Dudley,01384 255149,ann117@btinternet.com,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/14
85,Elm Lodge (Stourbridge),2 Yarnborough Hill,Oldswinford,CH Town,DY8 2EB,Learning Disabilities,Dudley,01384 394500,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/15
86,Eveson Road,76 Eveson Road,Norton,CH Town,DY8 3BU,Learning Disabilities,Dudley,01384 442730,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/16
87,Fairmont Residential Ltd (Brierley Hill),28 Sandringham Way,Withymor Village,CH Town,DY5 3JR,Learning Disabilities,Dudley,07775 697799,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/17
88,Grazebrook Homes Ltd,49 Adshead Road,Not Specified,CH Town,DY2 8ST,Learning Disabilities,Dudley,01384 255171,ikram@grazebrookhomes.com,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/18
89,Greenleigh Nursing Home,219 Wolverhampton Road,Sedgley,CH Town,DY3 1QR,Not Specified,Dudley,01902 664023,greenleigh@select-group.co.uk,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/19
90,Halas Home,Wassell Road,Hasbury,CH Town,B63 4JX,Learning Disabilities,Dudley,0121 5508778,info@halashomes.co.uk,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/20
91,HAP Care Home Ltd,22 Linden Avenue,Not Specified,CH Town,B62 9EL,Learning Disabilities,Dudley,07591 764272,amanda.jones@hapcarehomes.com,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/21
92,Highfield Residential Care Home,Stream Road,Not Specified,CH Town,DY6 9PB,Not Specified,Dudley,01384 288870,highfieldres@yahoo.co.uk,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/22
93,Highview Home,12 Priory Road,Not Specified,CH Town,DY1 4AD,Not Specified,Dudley,01384 2538502,dhillon78@protonmail.com,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/23
94,Hillcroft Care Home,135 High Street,Wordsley,CH Town,DY8 5QS,Nursing,Dudley,01384 271317,hillcroft@astleycarehomes.co.uk,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/24
95,Himley Manor Care Home,133 Himley Road,Himley,CH Town,DY1 2QF,Not Specified,Dudley,01384 238588,nhazia@himleymanor.com,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/25
96,Holly Hall House,170 Stourbridge Road,Holly Hall,CH Town,DY1 2ER,Learning Disabilities,Dudley,01384 252219,hollyhall@select-group.co.uk,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/26
97,Holly Lodge,9 Rectory Road,Oldswinford,CH Town,DY8 2HA,Not Specified,Dudley,01384 373306,Paula.hubble@hollylodgecarehome.co.uk,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/27
98,Hollybush House,John Corbett Drive,Amblecote,CH Town,DY8 4HZ,Not Specified,Dudley,01384 442782,hollybush@shaw.co.uk,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/28
99,Inshore Support - Melbourne Rd,10 Melbourne Road,Not Specified,CH Town,B63 3NB,Supported Living,Dudley,0121 5013389,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/29
100,Inshore Support-Highfield Road,Colley Gate,Colley Gate,CH Town,B63 2DH,Supported Living,Dudley,01384 410581,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/30
101,Jubilee Court Neuro-Rahabilitation,Neuro Rehabilitation Centre,Central Drive,CH Town,WV14 9EJ,Nursing,Dudley,01902 883426,jubileemanager@select-group.co.uk,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/31
102,Kiniths House,33 Kiniths Way,Not Specified,CH Town,B62 9HJ,Learning Disabilities,Dudley,0121 5597091,enquiries@kinithshouse.co.uk,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/32
103,Lapal House,Lapal Lane South,Not Specified,CH Town,B62 0ES,Not Specified,Dudley,0121 5030326,admin@lapalhouse.co.uk,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/33
104,Links The,252 The Broadway,Not Specified,CH Town,DY1 3DN,Learning Disabilities,Dudley,01384 459651,links@shaw.co.uk,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/34
105,Micron House (Active Care Services),41 Halesowen Road,Netherton,CH Town,DY2 9QD,Not Specified,Dudley,01384 230504,steph@activecareservices.co.uk,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/35
106,Mountfield Care Home (The Mount),226 Brettell Lane,Amblecote,CH Town,DY8 4BQ,Not Specified,Dudley,01384 265955,themount226@hotmail.com,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/36
107,Nelson House,1-3 Nelson Road,Not Specified,CH Town,DY1 2AG,Not Specified,Dudley,01384 237717,leahunitt.nelsonhouse@sky.com,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/37
108,New Bradley Hall,Compton Drive,Stream Road,CH Town,DY6 9NS,Not Specified,Dudley,01384 278689,newbradleyhall@bchg.co.uk,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/38
109,Norton Lodge,142 Norton Road,Not Specified,CH Town,DY8 2TA,Not Specified,Dudley,01384 376666,nischapritchard@yahoo.com,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/39
110,Oakleigh Lodge,158-160 Stourbridge Road,Not Specified,CH Town,DY1 2ER,Learning Disabilities,Dudley,01384 232482,richarddean.oakleigh@gmail.com,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/40
111,Oriel House Residential,87-89 Hagley Road,Oldswinford,CH Town,DY8 1QY,Not Specified,Dudley,01384 375867,info@orielcare.co.uk,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/41
112,Pendulum Supported Living,12 Collett Close,Amblecote,CH Town,DY8 4HS,Not Specified,Dudley,07846 001869,info@pendulumsupportedliving.co.uk,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/42
113,Redbrick Court,High Street,Wordsley,CH Town,DY8 5SD,Not Specified,Dudley,01384 485444,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/43
114,Richmond Court (D),16 St James's Road,Not Specified,CH Town,DY1 3JD,Not Specified,Dudley,01384 254442,Richmondcourtdudley@outlook.com,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/44
115,Ridgeway Court Care Home,2-4 Dudley Road,Sedgley,CH Town,DY3 1SX,Supported Living,Dudley,01902 883130,ridgeway.admin@healthcare-uk.co,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/45
116,Rosewood Care Home,139-143 High Street,Pensnett,CH Town,DY5 4EA,Not Specified,Dudley,01384 77441,info@rosewoodcarehome.com,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/46
117,Russell Court Care Home,Overfield Road,Not Specified,CH Town,DY1 2NY,Not Specified,Dudley,01384 985040,manager@russell-court.com,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/47
118,Safeharbour (254 Hagley Road),254 Hagley Road,Pedmore,CH Town,DY9 0RW,Learning Disabilities,Dudley,01562 888125,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/48
119,Safeharbour (260 Hagley Road),260 Hagley Road,Pedmore,CH Town,DY9 0RW,Learning Disabilities,Dudley,01562 885018,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/49
120,Stoneleigh,166-168 Stourbridge Road,Not Specified,CH Town,DY1 2ER,Learning Disabilities,Dudley,01384 235590,stoneleigh_house@hotmail.com,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/50
121,Swiss House Care Home,41-43 Brierley Hill Road,Wordsley,CH Town,DY8 5SJ,Learning Disabilities,Dudley,01384 573110,swiss.house@select-group.co.uk,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/51
122,Tudor Manor,2 Brook Street,Not Specified,CH Town,DY8 3XF,Not Specified,Dudley,01384 379165,Tudormanorelaine@gmail.com,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/52
123,Two Gates House,40-44 Two Gates Lane,Colley Gate,CH Town,B63 2LJ,Not Specified,Dudley,01384 567448,info@twogateshouse.co.uk,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/53
124,Village Nursing Home (the),190 Commonside,Pensnett,CH Town,DY5 4AA,Nursing,Dudley,01384 884499,manager@thevillagenursinghome.co.uk,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/54
125,Woodlands (Stourbridge),66 Bridle Road,Not Specified,CH Town,DY8 4QE,Not Specified,Dudley,01384 394851,woodlandsres@virginmedia.com,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/55
126,Woodlands Gate Rest Home,12 Dingle Road,Pedmore,CH Town,DY9 0RS,Not Specified,Dudley,01562 885546,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/56
127,Woodview House Nursing Home,Waugh Drive,"Hagley Road, Hayley Green",CH Town,B63 1EN,Nursing,Dudley,0121 5856440,woodview.manager@shaw.co.uk,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/57
128,Wychbury Care Home,350-352 Hagley Road,Pedmore,CH Town,DY9 0QY,Residential Care,Dudley,01562 885106,enquiries@wychcare.com,https://www.wmca.care/hmfc/directory/carehomes/dudley/dp/58
